jobtitle,company,location,jobsummary,lat,lng,coordinates
FedEx Delivery Driver Catalina Island $25/hr,Catalina Island Company,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Permits Supervisor,Catalina Island Company,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
FedEx Delivery Driver Catalina Island $25/hr,Catalina Island Company,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Permits Supervisor,Catalina Island Company,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
FedEx Delivery Driver Catalina Island $25/hr,Catalina Island Company,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
"Plant Equipment Operator, 8695 [ON-SITE]",Catalina Island Company,"Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Fitness Center CSR,Catalina Island Company,"Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Housekeeper,Catalina Island Company,"Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver''s license, sign the Driver Policy, and understand the key",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Food Service Worker,Catalina Island Company,"Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Distribution Journeyman Lineman - Catalina Island [ONSITE],Catalina Island Company,"Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Front Desk / Guest Services Agent,Catalina Island Company,"Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
"Plant Equipment Operator, 8695 [ON-SITE]",Catalina Island Company,"Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Fitness Center CSR,Catalina Island Company,"Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Front Desk / Guest Services Agent,Catalina Island Company,"Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
"Plant Equipment Operator, 8695 [ON-SITE]",Catalina Island Company,"Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Fitness Center CSR,Catalina Island Company,"Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Distribution Journeyman Lineman - Catalina Island [ONSITE],Catalina Island Company,"Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
"Plant Equipment Operator, 8695 [ON-SITE]",Catalina Island Company,"Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Fitness Center CSR,Catalina Island Company,"Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Housekeeper,Catalina Island Company,"Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver''s license, sign the Driver Policy, and understand the key",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Food Service Worker,Catalina Island Company,"Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
Distribution Journeyman Lineman - Catalina Island [ONSITE],Catalina Island Company,"Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
FedEx Delivery Driver Catalina Island $25/hr,Catalina Island Company,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
FedEx Delivery Driver Catalina Island $25/hr,Catalina Island Company,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
FedEx Delivery Driver Catalina Island $25/hr,Catalina Island Company,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",33.34388993,-118.3270969,"(33.34388992863657, -118.32709692261965)"
