jobtitle,company,location,jobsummary,posted,datapulled,yearly_salary,id,coordinates
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,1,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,3,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,10,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,12,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,19,"(33.38, -118.42)"
"Plant Equipment Operator, 8695 [ON-SITE]",Southern California Edison,"Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",30+ days ago,22-01-10,None,774,"(33.34, -118.33)"
Fitness Center CSR,Catalina Island Medical Center,"Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",4 days ago,22-01-10,None,775,"(33.34, -118.33)"
Housekeeper,Catalina Island Medical Center,"Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver''s license, sign the Driver Policy, and understand the key",4 days ago,22-01-10,None,776,"(33.34, -118.33)"
Food Service Worker,Catalina Island Medical Center,"Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.",4 days ago,22-01-10,None,777,"(33.34, -118.33)"
Distribution Journeyman Lineman - Catalina Island [ONSITE],Southern California Edison,"Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction",3 days ago,22-01-10,None,778,"(33.34, -118.33)"
