Title,Company,Location,Summary,Post_Date,Extracted_Date,Salary
newFind jobs with Flexible Hours!,Indeed Gigs,California,"Whether its hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!",PostedToday,22-01-10,None
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA 90704","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,$30 - $50 an hour
Front Desk / Guest Services Agent,Hotel Vista Del Mar,"Avalon, CA 90704","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations.
$500 Sign-On Bonus!",EmployerActive 2 days ago,22-01-10,None
newPermits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs.
Manage gate access including key card, fob issuance,",PostedJust posted,22-01-10,None
newMarine Interdiction Agent CBP LIVE Recruitment Webinar Janua...,U.S. Customs and Border Protection,California,"U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations",Posted4 days ago,22-01-10,"$56,551 - $72,970 a year"
U.S. Secret Service Criminal Investigator (Special Agent),United States Secret Service,California,"Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or",Posted30+ days ago,22-01-10,"$49,508 - $146,120 a year"
Utility Pole Inspection Foreman,Osmose Utility Services Inc,California,"Possess a valid driver's license.
Hire, train, and supervise a field crew of 1-5 people.
Collect field data and maintain daily and weekly report.",Posted11 days ago,22-01-10,$26 - $32 an hour
newVisitor Service Center Agent,Catalina Island Company,"Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests.
Agent must be able to answer questions in a professional, polite, and positive manner.",Posted3 days ago,22-01-10,None
newManager,MMW Hospitaly Corp,"Avalon, CA 90704","Job Types: Full-time, Part-time.
Quick service & fast food restaurant.
High school or equivalent (Preferred).",Posted3 days ago,22-01-10,From $20 an hour
Border Patrol Agent GL-9,U.S. Customs and Border Protection,California,"Driver's License: You must possess a valid driver's license.
Experience: One year of specialized work experience equivalent to at least the GL-7 grade level",Posted30+ days ago,22-01-10,"$55,214 - $89,054 a year"
"Plant Equipment Operator, 8695 [ON-SITE]",Southern California Edison,"Avalon, CA 90704","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",Posted30+ days ago,22-01-10,None
